ingreso,trabaja,horas,ninos16,ninos18,edad,educ,ciudad,exp,ninosp
3.354,1,1610,1,0,32,12,0,14,Si
1.3889,1,1656,0,2,30,12,1,5,No
4.5455,1,1980,1,3,35,12,0,15,Si
1.0965,1,456,0,3,34,12,0,6,No
4.5918,1,1568,1,2,31,14,1,7,Si
4.7421,1,2032,0,0,54,12,1,33,No
8.3333,1,1440,0,2,37,16,0,11,No
7.8431,1,1020,0,0,54,12,0,35,No
2.1262,1,1458,0,2,48,12,0,24,No
4.6875,1,1600,0,2,39,12,0,21,No
4.063,1,1969,0,1,33,12,0,15,No
4.5918,1,1960,0,1,42,11,0,14,No
2.0833,1,240,1,2,30,12,0,0,Si
2.2668,1,997,0,2,43,12,1,14,No
3.6797,1,1848,0,1,43,10,1,6,No
1.3472,1,1224,0,3,35,11,1,9,No
3.2143,1,1400,0,2,43,12,1,20,No
5.175,1,640,0,5,39,12,1,6,No
2,1,2000,0,0,45,12,1,23,No
7.5529,1,1324,0,4,35,12,0,9,No
3.5052,1,2215,0,2,42,16,0,5,No
3.5714,1,1680,0,0,30,12,0,11,No
3.25,1,1600,0,0,48,13,1,18,No
3.25,1,800,0,0,45,12,0,15,No
2.1545,1,1955,1,1,31,12,1,4,Si
3.7879,1,660,0,2,43,17,1,21,No
4,1,525,0,0,59,12,1,31,No
4.7269,1,1904,0,3,32,12,1,9,No
7.2559,1,1516,1,0,31,17,0,7,Si
5.8671,1,346,0,0,42,12,0,7,No
1.5385,1,1040,0,0,50,11,1,32,No
2.459,1,732,0,0,59,16,1,11,No
5.8511,1,1880,0,2,36,13,0,16,No
3.5714,1,1680,0,1,51,12,1,14,No
3.8068,1,2081,0,3,45,16,1,27,No
2.4638,1,690,0,1,42,11,0,0,No
2.3753,1,4210,0,0,46,12,1,17,No
4.5351,1,2205,0,1,46,10,0,28,No
5.6183,1,1952,0,0,51,14,0,24,No
14.631,1,1302,0,0,30,17,1,11,No
2.6786,1,112,1,2,30,12,0,1,Si
3.9194,1,893,0,0,57,12,1,14,No
2.5729,1,583,1,2,31,16,1,6,Si
4.5375,1,480,0,2,48,12,0,10,No
2,1,1900,0,3,30,12,0,6,No
3.4722,1,576,0,2,34,12,0,4,No
2.0161,1,2056,0,2,48,16,1,10,No
4.5716,1,1984,0,0,45,12,0,22,No
2.2727,1,2640,0,0,51,12,0,16,No
2.6375,1,240,0,2,30,12,0,6,No
2.2899,1,1173,0,1,46,12,1,12,No
1.0989,1,3640,0,0,58,12,1,32,No
